Minute,Open,High,Low,Close
2020-08-16 15:20:00,11826.02,11826.02,11820.4,11823.89
2020-08-16 15:21:00,11823.84,11828.61,11823.83,11827.68
2020-08-16 15:22:00,11827.62,11829.86,11827.0,11827.09
2020-08-16 15:23:00,11827.6,11829.63,11825.22,11828.9
2020-08-16 15:24:00,11828.51,11833.58,11828.15,11833.58
2020-08-16 15:25:00,11833.57,11837.71,11833.57,11837.71
2020-08-16 15:26:00,11837.71,11838.21,11830.25,11830.97
2020-08-16 15:27:00,11830.97,11836.89,11827.61,11834.0
2020-08-16 15:28:00,11833.09,11833.89,11824.56,11829.67
2020-08-16 15:29:00,11829.67,11831.0,11825.71,11831.0
2020-08-16 15:30:00,11833.23,11845.93,11833.23,11845.46
2020-08-16 15:31:00,11845.45,11845.46,11838.51,11839.31
2020-08-16 15:32:00,11838.88,11842.39,11837.12,11840.14
2020-08-16 15:33:00,11840.15,11843.36,11840.14,11841.23
2020-08-16 15:34:00,11841.23,11841.23,11838.52,11839.64
2020-08-16 15:35:00,11842.38,11848.17,11837.56,11841.29
2020-08-16 15:36:00,11841.24,11842.41,11831.51,11835.85
2020-08-16 15:37:00,11835.65,11835.85,11831.73,11831.73
2020-08-16 15:38:00,11831.73,11831.73,11824.34,11829.92
2020-08-16 15:39:00,11829.92,11836.96,11827.27,11827.27
2020-08-16 15:40:00,11827.27,11829.55,11827.26,11827.32
2020-08-16 15:41:00,11827.31,11829.68,11827.26,11827.27
2020-08-16 15:42:00,11827.43,11829.71,11827.0,11829.7
2020-08-16 15:43:00,11829.71,11839.65,11829.3,11839.02
2020-08-16 15:44:00,11838.9,11839.47,11838.38,11838.48
2020-08-16 15:45:00,11838.47,11838.48,11830.07,11834.03
2020-08-16 15:46:00,11834.37,11839.7,11833.22,11837.32
2020-08-16 15:47:00,11836.78,11842.03,11836.77,11841.49
2020-08-16 15:48:00,11842.03,11847.91,11840.57,11840.57
2020-08-16 15:49:00,11840.57,11848.17,11839.49,11848.16
2020-08-16 15:50:00,11848.17,11858.11,11848.16,11853.59
2020-08-16 15:51:00,11851.86,11855.07,11847.84,11848.26
2020-08-16 15:52:00,11848.37,11857.55,11847.47,11856.49
2020-08-16 15:53:00,11855.94,11867.08,11852.58,11867.08
2020-08-16 15:54:00,11866.38,11887.0,11866.32,11873.61
2020-08-16 15:55:00,11873.61,11877.21,11873.61,11877.21
2020-08-16 15:56:00,11877.21,11877.23,11866.85,11873.82
2020-08-16 15:57:00,11873.51,11874.54,11867.57,11867.57
2020-08-16 15:58:00,11867.58,11872.65,11867.57,11872.63
2020-08-16 15:59:00,11872.63,11872.63,11866.01,11866.01
2020-08-16 16:00:00,11866.01,11885.76,11865.08,11885.76
2020-08-16 16:01:00,11885.75,11889.13,11884.05,11889.13
2020-08-16 16:02:00,11889.12,11889.89,11888.57,11888.57
2020-08-16 16:03:00,11888.57,11888.58,11888.57,11888.58
2020-08-16 16:04:00,11888.58,11895.3,11888.57,11895.3
2020-08-16 16:05:00,11895.3,11900.0,11895.29,11899.57
2020-08-16 16:06:00,11899.98,11899.99,11891.97,11892.12
2020-08-16 16:07:00,11891.87,11892.4,11888.57,11888.57
2020-08-16 16:08:00,11888.5,11888.5,11869.57,11869.57
2020-08-16 16:09:00,11871.63,11871.64,11870.47,11870.51
2020-08-16 16:10:00,11870.5,11882.17,11870.5,11881.22
2020-08-16 16:11:00,11881.22,11886.69,11881.21,11886.69
2020-08-16 16:12:00,11886.69,11886.77,11882.22,11886.1
2020-08-16 16:13:00,11886.09,11888.0,11886.09,11887.34
2020-08-16 16:14:00,11887.35,11887.99,11886.09,11886.1
2020-08-16 16:15:00,11886.09,11886.12,11886.09,11886.12
2020-08-16 16:16:00,11886.12,11888.0,11886.09,11886.1
2020-08-16 16:17:00,11886.1,11886.1,11882.46,11882.47
2020-08-16 16:18:00,11882.47,11882.47,11873.86,11873.86
2020-08-16 16:19:00,11874.5,11874.64,11872.02,11872.62
2020-08-16 16:20:00,11872.62,11872.64,11870.0,11870.02
2020-08-16 16:21:00,11870.02,11870.03,11864.31,11864.34
2020-08-16 16:22:00,11864.34,11864.34,11857.62,11862.53
2020-08-16 16:23:00,11862.53,11862.53,11857.63,11857.78
2020-08-16 16:24:00,11857.78,11857.8,11857.77,11857.79
2020-08-16 16:25:00,11857.79,11857.82,11857.78,11857.82
2020-08-16 16:26:00,11857.82,11860.92,11857.81,11860.92
2020-08-16 16:27:00,11860.91,11864.32,11860.91,11864.31
2020-08-16 16:28:00,11864.32,11871.0,11864.32,11871.0
